Name,ScripCode,
BCLIND,2513,
OSWALAGRO,2514,
PGHH,2535,
HUHTAMAKI,2562,
3PLAND,2595,
AMJLAND,2598,
LEMONTREE,2606,
PEARLPOLY,2610,
HERANBA,2614,
SEAMECLTD,2616,
KOTAKIT,2627,
DIVOPPBEES,2636,
PFIZER,2643,
PCBL,2649,
PIDILITIND,2664,
POLYPLEX,2687,
PRAJIND,2705,
MTARTECH,2709,
PRECOT,2711,
BUTTERFLY,2716,
PRECWIRE,2717,
PRSMJOHNSN,2739,
JUBLINGREA,2783,
EASEMYTRIP,2792,
RSWM,2794,
CHEMFAB,2799,
RALLIS,2816,
ANURAS,2829,
RANASUG,2837,
LXCHEM,2841,
RANEHOLDIN,2844,
CRAFTSMAN,2854,
RAYMOND,2859,
RCF,2866,
HITECH,2868,
RELIANCE,2885,
RICOAUTO,2909,
RIIL,2912,
RUBYMILLS,2939,
KALYANKJIL,2955,
SAIL,2963,
SAKHTISUG,2969,
SURYODAY,2970,
ORIENTELEC,2972,
ORTINLAB,2979,
NAZARA,2987,
SANDESH,2988,
SANGHIIND,2997,
WONDERLA,3002,
AXISTECETF,3010,
SOTL,3021,
SDL26BEES,3022,
JINDALSAW,3024,
SBIN,3045,
SCI,3048,
VEDL,3063,
SESHAPAPER,3066,
SHANTIGEAR,3078,
SHREDIGCEM,3099,
SHREECEM,3103,
BARBEQUE,3127,
SHREYAS,3129,
HONDAPOWER,3138,
BORORENEW,3149,
SIEMENS,3150,
GILT5YBEES,3172,
SKFINDIA,3186,
LODHA,3220,
JTEKTINDIA,3237,
SPIC,3252,
SRF,3273,
TEMBO,3275,
STARPAPER,3291,
DEEPINDS,3292,
MODISONLTD,3316,
SUBROS,3324,
SUDARSCHEM,3327,
ISGEC,3329,
SUNDARMFIN,3339,
SUNDRMFAST,3345,
SUNFLAG,3348,
SUNPHARMA,3351,
SUPREMEIND,3363,
SURYAROSNI,3375,
SWARAJENG,3384,
SMLISUZU,3387,
AGARIND,3389,
TAINWALCHM,3396,
TATACHEM,3405,
TATAELXSI,3411,
HONAUT,3417,
TATAMETALI,3423,
TATAPOWER,3426,
TATACONSUM,3432,
TATAMOTORS,3456,
TFCILTD,3466,
THERMAX,3475,
THOMASCOOK,3481,
CLSEL,3482,
TINPLATE,3493,
TIRUMALCHM,3496,
TATASTEEL,3499,
TITAN,3506,
MAFANG,3507,
TNPETRO,3509,
TNTELE,3512,
TORNTPHARM,3518,
AXISBPSETF,3530,
TTKPRESTIG,3546,
ADANIGREEN,3563,
UCAL,3570,
UNICHEMLAB,3579,
UNIVCABLES,3607,
AXISHCETF,3608,
JUBLPHARMA,3637,
SOLARA,3672,
VESUVIUS,3676,
VINDHYATEL,3694,
VIPIND,3703,
VLSFINANCE,3715,
VOLTAS,3718,
TATACOMM,3721,
VSTIND,3724,
ANMOL,3727,
FINEORG,3744,
VENKEYS,3757,
RITES,3761,
WHEELS,3766,
WIPRO,3787,
WSTCSTPAPR,3799,
VINEETLAB,3807,
ZEEL,3812,
ARIHANTCAP,3813,
